Image_ID,Space Typology,Spatial Configuration,Size (visual estimate),Lighting,Maintenance,Vegetation,Paths,Seating,Built Environment,Signage,Human Presence,Types of Activities,Accessibility Features,Visibility,Safety Measures,Barriers,Aesthetic Elements,Architectural Style,Gathering Points,Demographic Diversity,Design,Weather Conditions,Temperature Range,Noise Levels,Temporal Aspects,Public Amenities,Economic Activities,Transport Connectivity,Cultural Elements,Sustainability,Overall Impression,Comments
0bG9080DtEBTCZNGfGNUL,Street,Semi-enclosed,Medium (500–2000 m²),Natural lighting;Well lit,Clean,Trees present;Little greenery,Paved paths present;Wide paths present;Linear paths present,Benches present;Custom seats present,Mixed-use buildings present,No signage,Moderately populated (20–50 people),Leisure activities present;Commercial activities present;Social activities present,No accessibility features,Clear sight lines;Shaded areas present,Not applicable,Semi-enclosed,Bright colours present;Monochrome elements present,Traditional buildings present;Contemporary buildings present,Central gathering point present,Ethnic diversity present;Gender diversity present,Not applicable,Sunny,Warm (20–30 °C),Quiet;Moderate,Natural sounds present,Daytime,Weekend,Trash bins present,Street vendors present;Shops present;Cafés present,Pedestrian paths present,Not applicable,"Not applicable,Inviting"
0bYEQwLcvwlGZinBUT8ns,Park,Tree-lined avenue,Paved path,,,,Open,Semi-enclosed,,,,Large (>2000 m²),Natural lighting;Shaded areas,Well maintained,Trees present;Too much greenery,Paved paths present;Wide paths present;Linear paths present,Benches present;Custom seats present,,,,Sparcely populated (<20 people),Leisure activities present,,,,Clear sight lines;Obstructed views present,,,,No barriers,Dark colours present,",,,Central gathering point present,,,,Wheelchair-accessible features present,,,,Sunny,Warm (20–30 °C),Quiet;Natural sounds present,Daytime,,,,Pedestrian paths present,,,,,Inviting;Accessible;Comfortable;Safe and secure,,,,,,,,,,,,,,,,,,"
1258724164547347,Street,Semi-enclosed,Small (<500 m²),Natural lighting;Well lit;Shaded areas,Clean,Trees present;Little greenery;Grass present,Paved paths present;Narrow paths present;Linear paths present,No seating,Residential buildings present,Directional signs present,Sparsely populated (<20 people),Not applicable,No accessibility features,Clear sight lines;Obstructed views present,No barriers,No decorative elements,Traditional buildings present;Contemporary buildings present,No gathering points,Not applicable,Not applicable,Warm (20–30 °C),Quiet;Natural sounds present,Daytime,Not applicable,Not applicable,Pedestrian paths present;Parking spaces present,Not applicable,Not applicable,Accessible,,,
1260331691303817,Street,Semi-enclosed,Small (<500 m²),Natural lighting,Well maintained,Trees present;Little greenery;Grass present,Unpaved paths present;Narrow paths present;Linear paths present,No seating,Residential buildings present,No signage,Sparsely populated (<20 people),Transportation activities present,Ramps present;Wide entrances present;No accessibility features,Clear sight lines;Obstructed views present,Safety lighting;Fences present;Walls present,Physical barriers present (fences,walls),Dark colours present;No decorative elements,Vernacular buildings present,Gathering points near monuments present;No gathering points,Varied age groups present;Ethnic diversity present,No design features,Cloudy,Cool (10–20 °C),Quiet;Natural sounds present,Daytime,No commercial activities,Pedestrian paths present;Parking spaces present,Not applicable,Not applicable,Comfortable,
1260686667705883,Park,,,,Natural lighting;Well lit;Shaded areas,Clean,Too much greenery;Trees present;Grass present,Unpaved paths present;Wide paths present;Linear paths present,No seating,,,,Sparsely populated (<20 people),Leisure activities present,,,,Obstructed views present;Hidden corners present,,,,No barriers,No decorative elements,,,,No gathering points,Not applicable,Not applicable,Sunny,Warm (20–30 °C),"Quiet;Natural sounds present,Daytime,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Inviting"
1261209044336635,Street,Semi-enclosed,Medium (500–2000 m²),Natural lighting;Artificial lighting;Well lit,Trees present;Little greenery,Paved paths present;Wide paths present;Linear paths present,Benches present;No seating,Modern buildings present,Informational signs present;Directional signs present,Sparsely populated (<20 people),Leisure activities present;Transportation activities present,Ramps present;Tactile paving present;Wide entrances present,Clear sight lines;Obstructed views present,Surveillance cameras present;Safety lighting;Fences present,Physical barriers present (fences,walls),Bright colours present;Monochrome elements present;Street art present,Contemporary buildings present,No gathering points,Daytime;Weekday,Restrooms present;Trash bins present;Fitness equipment present,Public transport access present;Pedestrian paths present,Culturally significant features present;Public art installations present,Not applicable,Accessible,,,,,,,
1262642404279890,Park,,,,Open,Large,Natural lighting;Well lit,Clean,Trees present;Grass present;Paved paths present;Linear paths present,,,,Informational signs present,,,,Empty,Recreational activities present,,,,Clear sight lines,,,,No barriers,,,,Varied age groups present,,",,Cloudy,Cool,Quiet;Natural sounds present,Daytime,,,,Public transport access present;Pedestrian paths present,,,,,,,Accessible"
1262738530786619,Street,Semi-enclosed,Small (<500 m²),Natural lighting;Artificial lighting;Well lit,Trees present;Little greenery,Paved paths present;Wide paths present;Linear paths present,No seating,Modern buildings present;Historic buildings present;Commercial buildings present,Directional signs present,Sparsely populated (<20 people),Transportation activities present;Commercial activities present;Leisure activities present,Pedestrian paths present;Parking spaces present;Bicycle lanes present,Clear sight lines;Obstructed views present,Surveillance cameras present;Safety lighting;Fences present,Physical barriers present (fences,walls),Dark colours present;Street art present,Contemporary buildings present;Traditional buildings present,No gathering points,Varied age groups present,No design features,Cloudy,Warm (20–30 °C),Moderate;Traffic noise present,Daytime,Trash bins present;Parking spaces present,Shops present;Street vendors present,Public transport access present;Pedestrian paths present;Parking spaces present;Bicycle lanes present,Culturally significant features present;Historic monuments present,Not applicable,Accessible,
1263557854320359,Park,,,,Medium (500–2000 m²),Natural lighting;Poorly lit;Shaded areas,Clean,Trees present;Little greenery;Grass present,Paved paths present;Narrow paths present;Linear paths present,Benches present;No seating,Residential buildings present,Informational signs present,Empty,Leisure activities present,No accessibility features,Clear sight lines;Obstructed views present,No barriers,Park,,,,Central gathering point present,Ethnic diversity present,No design features,Cloudy,Cool (10–20 °C),Quiet;Natural sounds present,Daytime;Weekday;Seasonal variations,Trash bins present;Play areas present,No commercial activities,Pedestrian paths present,"No cultural elements,Not applicable,Inviting"
1270030190061430,Street,Semi-enclosed,Medium (500–2000 m²),Natural lighting;Well lit;Shaded areas,Clean,Trees present;Grass present;Paved paths present;Narrow paths present;Linear paths present,No seating,Residential buildings present,No signage,Sparsely populated (<20 people),Transportation activities present,Pedestrian paths present,Clear sight lines;Obstructed views present,No safety measures,No barriers,Street art present;Water features present,Contemporary buildings present,No gathering points,Ethnic diversity present;Gender diversity present,No design features,Sunny,Warm (20–30 °C),Traffic noise present;Natural sounds present,Daytime,Trash bins present,No commercial activities,Pedestrian paths present,No cultural elements,Not applicable,Inviting,,
1272540470813157,Street,Open,Medium (500–2000 m²),Natural lighting;Artificial lighting;Poorly lit,Trees present;Little greenery,Paved paths present,Narrow paths present,Linear paths present,No seating,Residential buildings present;Commercial buildings present,No signage,Empty,Transportation activities present,No accessibility features,Obstructed views present;Hidden corners present,Not applicable,Cloudy,Cool (10–20 °C),Moderate;Traffic noise present,Daytime,Not applicable,Not applicable,Pedestrian paths present;Parking spaces present,Not applicable,Not applicable,Accessible,,,,,,
1272741153453790,Street,Semi-enclosed,Medium (500–2000 m²),Natural lighting;Well lit,Clean,Trees present;Grass present,Paved paths present,No seating,Residential buildings present,No signage,Sparsely populated (<20 people),Leisure activities present,No accessibility features,Clear sight lines;Obstructed views present,No barriers,No decorative elements,Traditional buildings present;Contemporary buildings present,No gathering points,Not applicable,Not applicable,Warm (20–30 °C),Quiet;Natural sounds present,Daytime,No commercial activities,Parking spaces present;Pedestrian paths present,Not applicable,Not applicable,Inviting,,,,
1275551216463038,Street,Open,Small (<500 m²),Natural lighting;Poorly lit,Trees present;Little greenery;Grass present,Unpaved paths present;Narrow paths present;Linear paths present,No seating,Residential buildings present,Directional signs present,Sparsely populated (<20 people),Transportation activities present,No accessibility features,Clear sight lines;Obstructed views present,No barriers,No decorative elements,Traditional buildings present;Contemporary buildings present,No gathering points,Not applicable,Cloudy,Cool (10–20 °C),Quiet;Traffic noise present;Natural sounds present,Daytime,No commercial activities,Pedestrian paths present;Parking spaces present,Not applicable,Not applicable,Comfortable,,,,,
1276070922807364,Park,Semi-enclosed,Large,Natural lighting;Shaded areas,Well maintained,Trees present;Too much greenery;Grass present,Paved paths present;Linear paths present;Curved paths present,No seating,Not applicable,No signage,Sparsely populated (<20 people),Leisure activities present,No accessibility features,Clear sight lines;Obstructed views present;Hidden corners present,Not applicable,Physical barriers present (fences,walls),Dark colours present;No decorative elements,Not applicable,No gathering points,Not applicable,Not applicable,Sunny,Warm (20–30 °C),Quiet;Natural sounds present,Daytime,Not applicable,Not applicable,Pedestrian paths present,Culturally significant features present,Not applicable,Inviting
1278047469550420,Street,Semi-enclosed,Medium (500–2000 m²),Natural lighting;Shaded areas,Clean,Trees present;Little greenery;Grass present,Unpaved paths present;Narrow paths present;Linear paths present,No seating,Residential buildings present,Directional signs present,Sparingly populated (<20 people),Transportation activities present,No accessibility features,Obstructed views present;Hidden corners present,Not applicable,Physical barriers present (fences,walls),Dark colours present;No decorative elements,Traditional buildings present;Vernacular buildings present,No gathering points,Not applicable,No design features,Cloudy,Cool (10–20 °C),Moderate;Natural sounds present,Daytime,Not applicable,Not applicable,Pedestrian paths present,Not applicable,Not applicable,Inviting
1286840255495528,Park;Waterfront,,,,Medium (500–2000 m²),Cloudy;Natural lighting,,,,Trees present;Grass present;Little greenery,Bushes present,Paved paths present;Curved paths present,,,,Benches present;No seating,,,,,,,Sparcely populated (<20 people),Leisure activities present,,,,Pedestrian paths present,,,,"Clear sight lines;Panoramic views present,,,,No barriers,Water features present;Sculptures present,,,,,Informal gathering points present;,Varied age groups present,,,,Cool (10–20 °C),Quiet;Natural sounds present,Daytime,,,,Trash bins present;Fitness equipment present,,,,Pedestrian paths present,,,,Culturally significant features present,,,,,Comfortable"
1287652558419083,Street,Open,Medium (500–2000 m²),Natural lighting;Well lit,Well maintained,Trees present;Little greenery;Grass present;Bushes present,Paved paths present;Wide paths present;Linear paths present,No seating,Residential buildings present,Directional signs present,Empty,Transportation activities present,No accessibility features,Clear sight lines;Obstructed views present,Not applicable,No barriers,Bright colours present;Dark colours present;No decorative elements,Traditional buildings present;Contemporary buildings present,No gathering points,Not applicable,No design features,Sunny,Warm (20–30 °C),Quiet;Traffic noise present,Daytime,No commercial activities,Pedestrian paths present,Not applicable,Not applicable,Inviting,,
1287694948546778,Street,Open,Medium (500–2000 m²),Natural lighting;Well lit,Clean,Trees present;Grass present;Little greenery,Paved paths present;Linear paths present,Benches present;No seating,Residential buildings present,No signage,Sparsely populated (<20 people),Transportation activities present,No accessibility features,Clear sight lines;Obstructed views present,No barriers,No decorative elements,Traditional buildings present,No gathering points,Not applicable,Cloudy,Cool (10–20 °C),Quiet;Natural sounds present,Daytime,No commercial activities,Pedestrian paths present;Parking spaces present,Not applicable,Not applicable,Inviting,,,,
1290695434833674,Park;Waterfront,Trees present;Grass present;Little greenery,Benches present;No seating,Paved paths present;Linear paths present,Empty,Natural lighting;Shaded areas,Clean;Well maintained,Trees present;Grass present;Little greenery,Paved paths present;Linear paths present,Benches present;No seating,Open,Medium (500–2000 m²),Cloudy,Cool (10–20 °C),Quiet;Natural sounds present,Daytime;Weekday,Restrooms present;Trash bins present;Not applicable,No commercial activities;Not applicable,Public transport access present;Pedestrian paths present;Not applicable,Not applicable,Not applicable,Accessible;Comfortable;Not applicable,,,,,,,,,,
1290862371597218,Park;Waterfront,Open,Large,Natural lighting;Shaded areas,Clean,Trees present;Grass present;Paved paths present;Linear paths present,Benches present;No seating,Modern buildings present;Historic buildings present;Commercial buildings present,Sparesly populated (<20 people),Recreational activities present;Leisure activities present;Transportation activities present,No accessibility features,Clear sight lines;Obstructed views present,Surveillance cameras present;Safety lighting;Fences present,Trees present;Little greenery;Bushes present;No vegetation,Paved paths present;Wide paths present;Narrow paths present;Linear paths present;Curved paths present;Intersecting paths present;Dead-end paths present,Benches present;Picnic tables present;No seating,Modern buildings present;Historic buildings present;Residential buildings present;Commercial buildings present;Mixed-use buildings present;Vacant lots present,Informational signs present;No signage,Sparesly populated (<20 people),Recreational activities present;Leisure activities present;Commercial activities present;Transportation activities present;Social activities present,Ramps present;No accessibility features,Clear sight lines;Obstructed views present;Panoramic views present;Hidden corners present,Surveillance cameras present;Safety lighting;Fences present,No barriers,Bright colours present;Dark colours present;Monochrome elements present;No decorative elements,Traditional buildings present;Contemporary buildings present;Vernacular buildings present;Post-modern buildings present;Brutalist buildings present,Central gathering point present;No gathering points,Varied age groups present;Ethnic diversity present;Gender diversity present,Wheelchair-accessible features present;Braille signage present;Multilingual signs present;No design features,Cloudy,Cool (10–20 °C),"Quiet;Moderate;Traffic noise present;Natural sounds present,Daytime,Crowded (>50 people);Moderately populated (20–50 people);Sparesly populated (<20 people);Empty,Restrooms present;Trash bins present;Play areas present;Fitness equipment present,Street vendors present;Markets present;Shops present;No commercial activities,Public transport access present;Bicycle lanes present;Pedestrian paths present;Parking spaces present;Carpool points present,Historic monuments present;Monuments present;Culturally significant features present;Public art installations present,Recycling bins present;Green building features present;Use of renewable energy present (e.g., solar panels);Water conservation measures present,Inviting;Accessible;Comfortable;Inclusive;Safe and secure;Diverse"
1293115788058375,Street,Semi-enclosed,Medium (500–2000 m²),Natural lighting,Well maintained,Trees present;Grass present,Little greenery,No seating,Modern buildings present;Residential buildings present,No signage,Sparsely populated (<20 people),Transportation activities present,No accessibility features,Clear sight lines;Obstructed views present,No barriers,Dark colours present;Bright colours present,Traditional buildings present;Contemporary buildings present,No gathering points,Not applicable,Not applicable,Cloudy,Cool (10–20 °C),Moderate;Traffic noise present,Daytime,No public amenities,No commercial activities,Pedestrian paths present;Parking spaces present,Not applicable,Not applicable,Inviting,,
1294042367755968,Street,Semi-enclosed,Medium (500–2000 m²),Natural lighting;Shaded areas,Clean,Trees present;Little greenery;Grass present,Bushes present,Paved paths present;Linear paths present,Narrow paths present,No seating,Residential buildings present,No signage,Sparsely populated (<20 people),Transportation activities present,No accessibility features,Clear sight lines;Obstructed views present,No safety measures,No barriers,No decorative elements,Traditional buildings present;Vernacular buildings present,No gathering points,Not applicable,Not applicable,Cloudy,Cool (10–20 °C),Quiet;Natural sounds present,Daytime,No public amenities,No commercial activities,Pedestrian paths present,Not applicable,"Not applicable,Not applicable,Accessible"
1294251944622898,Park,,,,Large (>2000 m²),Natural lighting;Well lit;Shaded areas,Clean;Well maintained,Trees present;Grass present;Little greenery,Paved paths present;Wide paths present;Linear paths present,Benches present;No seating,,,,Empty,Paved paths present;Benches present;Trees present;Grass present;Little greenery,,,,Clear sight lines;Obstructed views present;Panoramic views present,No barriers,Bright colours present;Dark colours present,,,,No gathering points,Varied age groups present,,,,Cloudy,Warm (20–30 °C),"Quiet;Natural sounds present,Daytime,,,,,Pedestrian paths present,,,,Not applicable,Inviting"
1296656797814079,Park,Open,Medium (500–2000 m²),Natural lighting;Poorly lit;Shaded areas,Dirty;Neglected,Trees present;Little greenery;Grass present,Paved paths present;Narrow paths present,Benches present;Picnic tables present;No seating is incorrect,so: Benches present;Picnic tables present,Residential buildings present;Commercial buildings present,No signage,Empty,Leisure activities present,Paved paths present;Narrow paths present; No accessibility features,Clear sight lines;Obstructed views present,No safety measures,No barriers,No decorative elements,Not applicable,No gathering points,Not applicable,Not applicable,Cloudy,Cool (10–20 °C),Quiet;Natural sounds present,Daytime,Not applicable,No commercial activities,Pedestrian paths present,Not applicable,Not applicable,"Not applicable,Inviting"
1439303619794963,Street,Semi-enclosed,Small (<500 m²),Natural lighting;Well lit,Clean,Trees present;Little greenery,Paved paths present;Linear paths present,Tents present;No seating,Modern buildings present;Residential buildings present,Informational signs present;Decorative signs present,Moderately populated (20–50 people),Recreational activities present;Leisure activities present;Commercial activities present;Social activities present,No accessibility features,Clear sight lines;Obstructed views present,Surveillance cameras present;Safety signs present;Fences present,No barriers,Bright colours present;Dark colours present;Murals present;Street art present,Contemporary buildings present;Eclectic buildings present,Central gathering point present,Ethnic diversity present;Gender diversity present,No design features,Sunny,Warm (20–30 °C),Moderate;Traffic noise present,Daytime;Weekend,Trash bins present;Information kiosks present,Street vendors present;Shops present;Markets present;No commercial activities,Public transport access present;Pedestrian paths present,Culturally significant features present;Public art installations present,Recycling bins present,Inviting,
1440638759601991,Park,,,,,,,Natural lighting;Well lit;Shaded areas,,,,,,,,Sparcely populated (<20 people),,,Leisure activities present,,,,Clear sight lines;Obstructed views present,,,,,,Bright colours present;Dark colours present,,,",,,Informal gathering points present,,,,,Varied age groups present;Gender diversity present,,,,,,Warm (20–30 °C),,Quiet;Natural sounds present,,,,Daytime,,,,,,Public transport access present;Pedestrian paths present;Parking spaces present,,,,,,Accessible;Comfortable;Safe and secure"
1441648926192692,Street,Square,,,,Natural lighting;Well lit,Clean,Trees present;Little greenery;Flower beds present,Paved paths present;Narrow paths present,No seating,Historic buildings present;Commercial buildings present,No signage,Sparsely populated (<20 people),Leisure activities present;Social activities present,No accessibility features,Clear sight lines;Obstructed views present,Not applicable,No barriers,Bright colours present;Monochrome elements present;Street art present;Water features present,Traditional buildings present;Contemporary buildings present,No gathering points,Not applicable,Not applicable,Warm (20–30 °C),Quiet;Natural sounds present,Daytime,Trash bins present,Shops present;Street vendors present,Pedestrian paths present,Historic monuments present,Culturally significant features present;Public art installations present,"Not applicable,Inviting"
1443772112656198,Street,Semi-enclosed,Medium (500–2000 m²),Natural lighting;Artificial lighting;Well lit,Well maintained,No vegetation,Paved paths present;Wide paths present;Linear paths present,No seating,Commercial buildings present,Informational signs present;Decorative signs present,Sparsely populated (<20 people),Commercial activities present;Transportation activities present,No accessibility features,Clear sight lines;Obstructed views present,Surveillance cameras present;Safety lighting;Fences present,Physical barriers present (fences,walls),Bright colours present;Dark colours present;Monochrome elements present,Contemporary buildings present;Eclectic buildings present,No gathering points,Ethnic diversity present,Gender-neutral restrooms present,Daytime,Warm (20–30 °C),Moderate;Traffic noise present,Daytime,Trash bins present,Street vendors present;Cafés present,Pedestrian paths present;Parking spaces present,Not applicable,Not applicable,Inviting
1446929005654565,Street,Not applicable,Not applicable,Natural lighting;Well lit,Not applicable,Trees present,Not applicable,No seating,Modern buildings present,Informational signs present,Sparsely populated (<20 people),Transportation activities present,Not applicable,Clear sight lines;Obstructed views present,Not applicable,No barriers,Not applicable,Traditional buildings present;Contemporary buildings present,Not applicable,Not applicable,Not applicable,Sunny,Warm (20–30 °C),Quiet;Natural sounds present,Daytime,Not applicable,Not applicable,Pedestrian paths present,Not applicable,Not applicable,Inviting,
1447578899154773,Street,Semi-enclosed,Medium (500–2000 m²),Natural lighting;Artificial lighting;Well lit,Well maintained,Trees present;Little greenery;Grass present,Paved paths present;Narrow paths present;Linear paths present,Benches present;No seating,Residential buildings present,No signage,Sparsely populated (<20 people),Leisure activities present;Transportation activities present,No accessibility features,Clear sight lines;Obstructed views present,Safety lighting;Fences present,No barriers,Dark colours present;Monochrome elements present;No decorative elements,Traditional buildings present;Contemporary buildings present,No gathering points,Not applicable,No design features,Cloudy,Cool (10–20 °C),Quiet;Traffic noise present,Daytime,No commercial activities,Pedestrian paths present;Parking spaces present,Historic monuments present;Monuments present;No public art installations,Not applicable,Inviting,,
1456924748373499,Street,Semi-enclosed,Medium (500–2000 m²),Natural lighting;Artificial lighting;Well lit,Well maintained,Trees present;Little greenery,Paved paths present;Narrow paths present;Linear paths present,Benches present;No seating,Residential buildings present,Directional signs present,Sparsely populated (<20 people),Transportation activities present,No accessibility features,Clear sight lines;Obstructed views present,Safety lighting;Fences present,Physical barriers present (fences,walls),Dark colours present;Monochrome elements present,No gathering points,Not applicable,Cloudy,Cool (10–20 °C),Moderate;Traffic noise present,Daytime,No commercial activities,Pedestrian paths present;Parking spaces present,Not applicable,Not applicable,Accessible,,,
1458612921288934,Park;Street,,,,,,,,Natural lighting;Well lit,,,,Trees present;Grass present;Little greenery,Bushes present,,,,Paved paths present;Linear paths present,,,,,Residential buildings present,,,,,Sparcely populated (<20 people),,,,",,,,,,,,,,Cloudy;,,,,Daytime,,,,,,Pedestrian paths present,,,,,,Not applicable,,,,,Accessible"
