Image_ID,Space Typology,Spatial Configuration,Size (visual estimate),Lighting,Maintenance,Vegetation,Paths,Seating,Built Environment,Signage,Human Presence,Types of Activities,Accessibility Features,Visibility,Safety Measures,Barriers,Aesthetic Elements,Architectural Style,Gathering Points,Demographic Diversity,Design,Weather Conditions,Temperature Range,Noise Levels,Temporal Aspects,Public Amenities,Economic Activities,Transport Connectivity,Cultural Elements,Sustainability,Overall Impression,Comments
0bYEQwLcvwlGZinBUT8ns,Street,Open,Large (>2000 m²),Natural lighting;Well lit;Shaded areas,Well maintained,Trees present;Grass present,Paved paths present;Wide paths present;Linear paths present,Benches present,Modern buildings present;Residential buildings present;Commercial buildings present,No signage,Sparsely populated (<20 people),Leisure activities present;Recreational activities present,No accessibility features,Clear sight lines,Safety lighting;Not applicable,No barriers,Bright colours present;No decorative elements,Contemporary buildings present,Central gathering point present,Varied age groups present,No design features,Sunny,Warm (20–30 °C),Quiet;Natural sounds present,Daytime,Trash bins present,No commercial activities,Pedestrian paths present,Not applicable,Not applicable,Inviting,
1258724164547347,Street,Open,Not applicable,Natural lighting;Well lit,Clean,Trees present;Grass present,Paved paths present;Linear paths present,No seating,Residential buildings present,Informational signs present,Sparsely populated (<20 people),Transportation activities present,No accessibility features;Not applicable,Clear sight lines,Fences present,Physical barriers present (fences,walls),No decorative elements,Traditional buildings present,No gathering points,Not applicable,No design features,Sunny,Warm (20–30 °C),Quiet;Natural sounds present,Daytime,Trash bins present,No commercial activities,Pedestrian paths present,Not applicable,Not applicable,Inviting
1260331691303817,Street,Open,Medium (500–2000 m²),Natural lighting;Well lit,Clean;Well maintained,Trees present;Grass present;Bushes present,Paved paths present;Narrow paths present;Linear paths present,Benches present;No seating,Residential buildings present,Informational signs present,Sparsely populated (<20 people),Leisure activities present;Transportation activities present,No accessibility features,Clear sight lines;Not applicable,Not applicable,No barriers,No decorative elements,Not applicable,No gathering points,Not applicable,No design features,Sunny,Cool (10–20 °C),Quiet;Natural sounds present,Daytime,Trash bins present,No commercial activities,Pedestrian paths present,Not applicable,Not applicable,Inviting,
1260686667705883,Park,Open,Large (>2000 m²),Natural lighting;Well lit,Clean;Well maintained,Trees present;Grass present,Unpaved paths present;Wide paths present,No seating,Not applicable,No signage,Sparsely populated (<20 people),Recreational activities present;Leisure activities present,No accessibility features,Clear sight lines,Not applicable,No barriers,Bright colours present;No decorative elements,Not applicable,No gathering points,Varied age groups present,No design features,Sunny,Warm (20–30 °C),Quiet;Natural sounds present,Daytime,Not applicable,No commercial activities,Pedestrian paths present,Not applicable,Not applicable,Inviting,
1261209044336635,Street,Open,Large (>2000 m²),Natural lighting;Well lit,Clean;Well maintained,Trees present;Little greenery,Paved paths present;Wide paths present;Linear paths present,Benches present,Modern buildings present;Commercial buildings present;Mixed-use buildings present,Informational signs present;Decorative signs present;Directional signs present,Sparsely populated (<20 people),Leisure activities present;Transportation activities present,Ramps present;Wide entrances present,Clear sight lines;Obstructed views present,Safety lighting;Fences present,Physical barriers present (fences,walls),No decorative elements,Contemporary buildings present;Not applicable,Edge gathering points present,Not applicable,Wheelchair-accessible features present,Sunny,Cool (10–20 °C),Quiet;Traffic noise present,Daytime,Trash bins present;Not applicable,Cafés present;No commercial activities,Public transport access present;Pedestrian paths present,Not applicable,Not applicable,Inviting
1262642404279890,Park,Open,Large (>2000 m²),Natural lighting;Well lit,Clean;Well maintained,Trees present;Little greenery;Grass present;No vegetation,Paved paths present;Curved paths present,Benches present,Residential buildings present;Not applicable,Informational signs present,Sparsely populated (<20 people),Leisure activities present;Recreational activities present,Ramps present;Wide entrances present,Clear sight lines;Panoramic views present,Safety lighting;Not applicable,No barriers,Bright colours present;No decorative elements;Not applicable,Not applicable,Informal gathering points present,Varied age groups present;Gender diversity present,Wheelchair-accessible features present,Sunny,Cool (10–20 °C),Quiet;Natural sounds present,Daytime,Trash bins present;Not applicable,No commercial activities,Pedestrian paths present,Not applicable,Not applicable,Inviting,
1262738530786619,Street,Open,Large (>2000 m²),Natural lighting;Well lit,Clean;Well maintained,Trees present;Little greenery,Paved paths present;Wide paths present;Linear paths present,Benches present;No seating,Modern buildings present;Historic buildings present;Commercial buildings present;Mixed-use buildings present,Informational signs present;Directional signs present,Sparsely populated (<20 people),Transportation activities present;Commercial activities present;Leisure activities present,Ramps present;Wide entrances present,Clear sight lines,Safety lighting;Fences present,No barriers,Bright colours present;No decorative elements,Traditional buildings present;Contemporary buildings present;Not applicable,No gathering points,Varied age groups present;Not applicable,Wheelchair-accessible features present,Cloudy,Cool (10–20 °C),Moderate;Traffic noise present,Daytime,Trash bins present;Not applicable,Cafés present;Shops present,Public transport access present;Bicycle lanes present;Pedestrian paths present,Monuments present;Culturally significant features present,Not applicable,Accessible,
1263557854320359,Park,Open,Medium (500–2000 m²),Natural lighting;Shaded areas,Well maintained,Trees present;Grass present;Little greenery,Paved paths present;Linear paths present,Benches present;Picnic tables present,Residential buildings present;Not applicable,Informational signs present,Sparsely populated (<20 people),Leisure activities present;Recreational activities present,Ramps present;Not applicable,Clear sight lines,Fences present,Physical barriers present (fences,walls),No decorative elements,Not applicable,Central gathering point present,Varied age groups present;Not applicable,Wheelchair-accessible features present,Cloudy,Cool (10–20 °C),Quiet;Natural sounds present,Daytime;Weekday,Trash bins present;Not applicable,No commercial activities,Pedestrian paths present;Parking spaces present,Not applicable,Not applicable,Inviting
1270030190061430,Street,Open,Large (>2000 m²),Natural lighting;Well lit,Clean;Well maintained,Trees present;Grass present,Paved paths present;Linear paths present,Benches present;No seating,Modern buildings present;Residential buildings present;Mixed-use buildings present,No signage,Sparsely populated (<20 people),Leisure activities present;Transportation activities present,Ramps present;Wide entrances present,Clear sight lines;Obstructed views present,Safety lighting;Fences present,Physical barriers present (fences,walls),Bright colours present;No decorative elements,Contemporary buildings present;Vernacular buildings present,Edge gathering points present,Varied age groups present;Not applicable,Wheelchair-accessible features present,Sunny,Warm (20–30 °C),Quiet;Traffic noise present,Daytime,Trash bins present,No commercial activities,Public transport access present;Bicycle lanes present;Pedestrian paths present,Not applicable,Recycling bins present,Inviting
1272540470813157,Street,Open,Large (>2000 m²),Natural lighting;Shaded areas,Well maintained,Trees present;Little greenery,Paved paths present;Linear paths present,Benches present,Residential buildings present;Modern buildings present,No signage,Sparsely populated (<20 people),Transportation activities present,Ramps present;Wide entrances present,Clear sight lines,Fences present,Physical barriers present (fences,walls),Dark colours present,Contemporary buildings present,Edge gathering points present,Varied age groups present,Wheelchair-accessible features present,Cloudy,Cool (10–20 °C),Quiet;Natural sounds present,Daytime,Trash bins present,No commercial activities,Pedestrian paths present,Not applicable,Not applicable,Accessible
1272741153453790,Image001,Open,Medium (500–2000 m²),Natural lighting;Well lit,Clean;Well maintained,Trees present;Grass present,Both paved paths present,WNo seating,Residential buildings present,No signage,Sparsely populated (<20 people),Leisure activities present;Transportation activities present,No accessibility features,Clear sight lines,Not applicable,No barriers,Bright colours present;No decorative elements,Contemporary buildings present,No gathering points,Not applicable,No design features,Sunny,Cool (10–20 °C),Quiet;Natural sounds present,Daytime,Not applicable,No commercial activities,Parking spaces present,Not applicable,Not applicable,Inviting,
1275551216463038,Street,Open,Medium (500–2000 m²),Natural lighting;Shaded areas,Clean,Trees present;Little greenery;Grass present,Paved paths present;Linear paths present,Benches present,Residential buildings present;Not applicable,Informational signs present;No signage,Sparsely populated (<20 people),Leisure activities present;Transportation activities present,Ramps present;No accessibility features,Clear sight lines,Fences present,No barriers,Bright colours present;No decorative elements,Traditional buildings present,Edge gathering points present,Varied age groups present;Not applicable,No design features,Cloudy,Cool (10–20 °C),Quiet;Natural sounds present,Daytime;Weekday,Trash bins present,No commercial activities,Public transport access present;Pedestrian paths present,Not applicable,Not applicable,Inviting,
1276070922807364,Park,Open,Medium (500–2000 m²),Natural lighting;Well lit,Clean;Well maintained,Trees present;Grass present,Unpaved paths present;Curved paths present,Benches present,Not applicable,No signage,Sparsely populated (<20 people),Recreational activities present;Leisure activities present,No accessibility features,Clear sight lines,Not applicable,No barriers,Bright colours present,Not applicable,Informal gathering points present,Varied age groups present;Gender diversity present,No design features,Sunny,Warm (20–30 °C),Quiet;Natural sounds present,Daytime,Trash bins present,No commercial activities,Pedestrian paths present,Not applicable,Not applicable,Not applicable,Inviting
1278047469550420,Street,Open,Large (>2000 m²),Natural lighting;Shaded areas,Well maintained,Trees present;Little greenery;Grass present,Paved paths present;Linear paths present,Benches present,Residential buildings present,Informational signs present,Sparsely populated (<20 people),Transportation activities present,Ramps present,Clear sight lines,Safety signs present,No barriers,No decorative elements,Traditional buildings present;Contemporary buildings present,No gathering points,Not applicable,No design features,Cloudy,Cool (10–20 °C),Quiet;Natural sounds present,Daytime,Trash bins present,No commercial activities,Pedestrian paths present,Not applicable,Not applicable,Comfortable,
1286840255495528,Waterfront,Open,Large (>2000 m²),Natural lighting;Shaded areas,Clean;Well maintained,Trees present;Little greenery;Grass present;No vegetation,Paved paths present;Linear paths present,Benches present,Residential buildings present;Not applicable,Informational signs present;No signage,Sparsely populated (<20 people),Leisure activities present;Recreational activities present,Ramps present;Wide entrances present,Clear sight lines,Not applicable,No barriers,Bright colours present;No decorative elements,Not applicable,Edge gathering points present,Varied age groups present;Not applicable,Wheelchair-accessible features present;No design features,Cloudy,Cool (10–20 °C),Quiet;Natural sounds present,Daytime;Weekday,Trash bins present,No commercial activities,Pedestrian paths present,Not applicable,Not applicable,Inviting,
1287652558419083,Street,Open,Medium (500–2000 m²),Natural lighting;Well lit,Clean;Well maintained,Trees present;Grass present;Bushes present,Paved paths present;Wide paths present;Linear paths present,Benches present,Residential buildings present,Informational signs present,Sparsely populated (<20 people),Transportation activities present,Ramps present;Wide entrances present,Clear sight lines,Not applicable,No barriers,Bright colours present,Not applicable,No gathering points,Not applicable,Wheelchair-accessible features present,Sunny,Cool (10–20 °C),Quiet;Traffic noise present,Daytime,Trash bins present,No commercial activities,Public transport access present;Bicycle lanes present;Pedestrian paths present,Not applicable,Not applicable,Inviting,
1287694948546778,Street,Open,Large (>2000 m²),Natural lighting;Well lit,Clean;Well maintained,Trees present;Grass present;Bushes present;Flower beds present,Paved paths present;Wide paths present,Benches present,Residential buildings present,No signage,Sparsely populated (<20 people),Leisure activities present,Ramps present,Clear sight lines,Not applicable,No barriers,Bright colours present,Traditional buildings present,Edge gathering points present,Varied age groups present,Wheelchair-accessible features present,Cloudy,Cool (10–20 °C),Quiet;Natural sounds present,Daytime,Trash bins present,No commercial activities,Pedestrian paths present,Not applicable,Not applicable,Inviting,
1290695434833674,Park,Open,Large (>2000 m²),Natural lighting;Shaded areas,Well maintained,Trees present;Little greenery;Grass present,Paved paths present;Wide paths present,Benches present,Not applicable,Informational signs present,Sparsely populated (<20 people),Recreational activities present;Leisure activities present,No accessibility features,Clear sight lines,Not applicable,No barriers,No decorative elements,Not applicable,Informal gathering points present,Not applicable,Not applicable,Not applicable,Cloudy,Cool (10–20 °C),Quiet;Natural sounds present,Daytime,Trash bins present,No commercial activities,Pedestrian paths present,Not applicable,Not applicable,Inviting
1290862371597218,Park,Open,Large (>2000 m²),Natural lighting;Shaded areas,Well maintained,Trees present;Grass present;Little greenery,Paved paths present;Wide paths present,Benches present,Historic buildings present;Residential buildings present;Mixed-use buildings present,Informational signs present;No signage,Sparsely populated (<20 people),Leisure activities present;Recreational activities present;Transportation activities present,No accessibility features,Clear sight lines;Panoramic views present,Not applicable,No barriers,Bright colours present;No decorative elements,Traditional buildings present,No gathering points,Not applicable,No design features,Cloudy,Cool (10–20 °C),Quiet;Traffic noise present,Daytime,Trash bins present,No commercial activities,Public transport access present;Pedestrian paths present,Not applicable,Not applicable,Inviting,
1293115788058375,Street,Open,Medium (500–2000 m²),Natural lighting;Shaded areas,Clean,Trees present;Little greenery,Paved paths present;Narrow paths present,Benches present,Residential buildings present,No signage,Sparsely populated (<20 people),Transportation activities present;Leisure activities present,No accessibility features,Clear sight lines,Fences present,Physical barriers present (fences,walls),No decorative elements,Traditional buildings present;Contemporary buildings present,No gathering points,Not applicable,No design features,Cloudy,Cool (10–20 °C),Quiet;Traffic noise present,Daytime,Trash bins present,No commercial activities,Parking spaces present;Pedestrian paths present,Not applicable,Not applicable,Inviting
1294042367755968,Street,Open,Medium (500–2000 m²),Natural lighting;Well lit,Clean,Trees present;Little greenery;Grass present;Bushes present,Paved paths present;Linear paths present;Narrow paths present,Benches present,Residential buildings present,No signage,Sparsely populated (<20 people),Transportation activities present;Leisure activities present,No accessibility features,Clear sight lines,Not applicable,No barriers,Bright colours present;No decorative elements,Traditional buildings present,No gathering points,Not applicable,No design features,Cloudy,Cool (10–20 °C),Quiet;Natural sounds present,Daytime,Trash bins present;Not applicable,No commercial activities,Pedestrian paths present;Parking spaces present,Not applicable,Not applicable,Comfortable,
1294251944622898,Park,Open,Large (>2000 m²),Natural lighting;Well lit,Clean;Well maintained,Trees present;Grass present;Bushes present,Paved paths present;Wide paths present;Linear paths present,Benches present,Not applicable,Informational signs present;No signage,Sparsely populated (<20 people),Recreational activities present;Leisure activities present;Sports activities present,Ramps present;Wide entrances present,Clear sight lines,Not applicable,No barriers,Bright colours present;No decorative elements,Not applicable,Central gathering point present,Varied age groups present,Wheelchair-accessible features present,Cloudy,Cool (10–20 °C),Quiet;Natural sounds present,Daytime,Trash bins present,No commercial activities,Public transport access present;Pedestrian paths present,Not applicable,Recycling bins present,Inviting,
1296656797814079,Park,Open,Large (>2000 m²),Natural lighting;Shaded areas,Well maintained,Trees present;Little greenery;Grass present,Paved paths present;Linear paths present,Benches present;Picnic tables present,Residential buildings present,No signage,Empty,Leisure activities present;Recreational activities present,No accessibility features,Clear sight lines,Not applicable,No barriers,Bright colours present;No decorative elements,Not applicable,Informal gathering points present,Not applicable,No design features,Cloudy,Cool (10–20 °C),Quiet;Natural sounds present,Daytime,Trash bins present,No commercial activities,Pedestrian paths present,Not applicable,Not applicable,Inviting,
1439303619794963,Street,Open,Large (>2000 m²),Natural lighting;Well lit,Clean;Well maintained,Trees present;Little greenery,Paved paths present;Wide paths present,Benches present,Modern buildings present;Commercial buildings present;Mixed-use buildings present,Informational signs present;Decorative signs present;No signage,Crowded (>50 people),Leisure activities present;Commercial activities present;Cultural activities present;Social activities present,Ramps present;Wide entrances present,Clear sight lines;Obstructed views present,Not applicable,Bright colours present;No decorative elements,Contemporary buildings present,Informal gathering points present,Varied age groups present;Ethnic diversity present;Gender diversity present,Wheelchair-accessible features present,Sunny,Warm (20–30 °C),Loud;Traffic noise present;Natural sounds present,Daytime,Trash bins present;Not applicable,Street vendors present;Shops present;Cafés present,Pedestrian paths present,Public art installations present;Not applicable,Recycling bins present,Inviting,,
1440638759601991,Park,Open,Large (>2000 m²),Natural lighting;Well lit,Clean,Trees present;Grass present,Both paved paths present;Linear paths present;Intersecting paths present,Benches present;Picnic tables present,Residential buildings present;Not applicable,No signage,Sparsely populated (<20 people),Leisure activities present;Recreational activities present;Transportation activities present,Ramps present;Wide entrances present,Clear sight lines,Not applicable,Bright colours present;No decorative elements,Not applicable,Informal gathering points present,Varied age groups present;Gender diversity present,Wheelchair-accessible features present,Sunny,Warm (20–30 °C),Moderate;Natural sounds present,Daytime,Trash bins present,No commercial activities,Public transport access present;Pedestrian paths present,Not applicable,Recycling bins present,Inviting,,
1441648926192692,Street,Open,Medium,Natural lighting;Well lit,Well maintained,Trees present;Flower beds present;Grass present,Paved paths present;Narrow paths present;Linear paths present,Benches present;No seating,Historic buildings present;Commercial buildings present;Mixed-use buildings present,Informational signs present;No signage,Sparsely populated (<20 people),Leisure activities present;Social activities present,Ramps present;Wide entrances present,Clear sight lines,Not applicable,No barriers,Bright colours present;No decorative elements,Traditional buildings present,Edge gathering points present,Varied age groups present;Gender diversity present,Wheelchair-accessible features present,Sunny,Warm (20–30 °C),Moderate;Natural sounds present,Daytime,Trash bins present,Shops present,Cafés present;Pedestrian paths present,Not applicable,Not applicable,Inviting,
1443772112656198,Street,Open,Large (>2000 m²),Natural lighting;Well lit,Clean;Well maintained,Little greenery;No vegetation,Paved paths present;Wide paths present;Linear paths present,Benches present,Modern buildings present;Commercial buildings present;Mixed-use buildings present,Informational signs present;No signage,Sparsely populated (<20 people),Leisure activities present;Commercial activities present;Transportation activities present,Ramps present;Wide entrances present,Clear sight lines,Not applicable,Bright colours present;No decorative elements,Contemporary buildings present,Central gathering point present,Varied age groups present;Gender diversity present,Wheelchair-accessible features present,Sunny,Warm (20–30 °C),Moderate;Traffic noise present,Daytime,Trash bins present,Shops present;Cafés present,Public transport access present;Pedestrian paths present,Not applicable,Recycling bins present,Inviting,,
1446929005654565,Street,Open,Not applicable,Natural lighting;Well lit,Clean,Trees present;Little greenery;No vegetation,Paved paths present;Wide paths present,Benches present,Not applicable,Informational signs present,Sparsely populated (<20 people),Leisure activities present;Transportation activities present,No accessibility features,Clear sight lines;Not applicable,Not applicable,No barriers,Bright colours present;No decorative elements,Not applicable,No gathering points,Varied age groups present;Gender diversity present,No design features,Sunny,Warm (20–30 °C),Moderate;Traffic noise present,Daytime,Trash bins present,No commercial activities,Pedestrian paths present,Not applicable,Not applicable,Inviting,
1447578899154773,Street,Open,Medium (500–2000 m²),Natural lighting;Well lit,Clean;Well maintained,Trees present;Little greenery;Grass present,Paved paths present;Narrow paths present,Residential buildings present,No signage,Sparsely populated (<20 people),Leisure activities present,No accessibility features,Clear sight lines,Not applicable,No barriers,Bright colours present;No decorative elements,Traditional buildings present,No gathering points,Not applicable,No design features,Cloudy,Cool (10–20 °C),Quiet;Natural sounds present,Daytime,Trash bins present,No commercial activities,Parking spaces present,Not applicable,Not applicable,Comfortable,,
1456924748373499,Street,Open,Large (>2000 m²),Natural lighting;Shaded areas,Well maintained,Trees present;Little greenery;No vegetation,Paved paths present;Linear paths present,Benches present;No seating,Residential buildings present,Informational signs present,Sparsely populated (<20 people),Transportation activities present,Ramps present;Wide entrances present,Clear sight lines;Obstructed views present,Safety lighting;Fences present,Physical barriers present (fences,walls),No decorative elements,Contemporary buildings present,No gathering points,Not applicable,No design features,Cloudy,Cool (10–20 °C),Quiet;Traffic noise present,Daytime,Trash bins present,No commercial activities,Parking spaces present,Not applicable,Not applicable,Safe and secure
1458612921288934,Street,Open,Large (>2000 m²),Natural lighting;Well lit,Clean;Well maintained,Trees present;Grass present,Paved paths present;Wide paths present,Benches present,Residential buildings present,Informational signs present,Sparsely populated (<20 people),Leisure activities present;Transportation activities present,No accessibility features,Clear sight lines,Not applicable,No barriers,Bright colours present;No decorative elements,Traditional buildings present,No gathering points,Not applicable,No design features,Cloudy,Cool (10–20 °C),Quiet;Natural sounds present,Daytime,Trash bins present,No commercial activities,Pedestrian paths present,Not applicable,Not applicable,Accessible,
